frameCount, left Gaze point world position x, left Gaze point world position y, left Gaze point world position z, left Gaze point gazeTime, left Gaze point hit layer, leftEyeHitObject,right Gaze point world position x, right Gaze point world position y, right Gaze point world position z, right Gaze point gazeTime, right Gaze point hit layer, rightEyeHitObject,left eye open confidence, left eye position x, left eye position y, left eye position z, right eye open confidence, right eye position x, right eye position y, right eye position z, isConjugate, isFixational,headCameraPosition.x, headCameraPosition.y, headCameraPosition.z,head angular speed, left eye angular speed, right eye angular speed
115,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
116,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
117,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
118,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
119,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
120,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
121,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
122,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
123,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
124,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
125,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
126,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
127,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
128,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
129,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
130,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
131,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
132,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
133,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
134,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
135,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
136,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
137,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
138,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
139,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
140,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
141,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
142,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
143,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
144,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
145,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
146,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
147,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
148,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
149,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
150,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
151,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
152,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
153,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,False,False,0,0,0,-1,-1,-1
